Accession	TDL	Gene Symbol01	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	P value 2h	P value 6h	P value 10h	P value 24h	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	Count	Selected	Quantity_Change	Source
Q15459	Tbio	SF3A1	0.143355478	0.143335	-0.216971115	0.490460993	0.252008305	0.235297821	0.077667292	0.014201946	1	1	0	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P39019	Tbio	RPS19	0.442251845	0.433382154	-0.553463064	0.380845869	0.207541	0.242691764	0.032733498	0.070745029	1	1	0	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P13639	Tchem	EEF2	2.537976428	-0.480392593	0.055619443	2.185702974	0.23759921	0.41093156	0.913495192	0.013814973	1	0	1	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9BW27	Tbio	NUP85	0.232251932	0.290142624	-1.335121949	0.416732051	0.487799178	0.455010841	0.040676167	0.528943293	1	1	0	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P61254	Tbio	RPL26	0.056232457	-0.029965405	0.227186989	0.43364166	0.710174884	0.877509488	0.001763702	0.013526221	1	0	1	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q96S97	Tbio	MYADM	0.850865722	0.802879511	0.16536863	0.640298288	0.002928994	0.001285407	0.209973447	0.000258594	1	1	1	1	4	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O95379	Tbio	TNFAIP8	0.424745667	-0.211458425	0.172214799	1.027322939	0.168082671	0.490387269	0.543258668	0.015870802	1	0	1	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O95361	Tbio	TRIM16	-0.361593462	0.238973397	0.052502526	1.374575256	0.174243594	0.706565533	0.948557746	0.01532928	0	1	1	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P05141	Tbio	SLC25A5	0.432088753	-1.221206313	1.579085698	2.456558218	0.845444439	0.355897089	0.461001558	0.035851172	1	0	1	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q13423	Tbio	NNT	0.467256344	-1.434593622	0.226161024	2.153858904	0.701278839	0.073453365	0.721715765	0.039141755	1	0	1	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
