drug_name	host_protein	action_type	p_chembl	metadata	is_experimental	data_source	abbreviated_data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score_type	directed	source_specific_score	edge_label
Florbetapir F-18	APP	unknown	8.54	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	Florbetapir F-18_APP
N6-hydroxyadenosine	TDP1	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	N6-hydroxyadenosine_TDP1
abemaciclib	CDK4	inhibitor	9.22184875	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	abemaciclib_CDK4
aceclidine	CHRM2	agonist	5.7	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aceclidine_CHRM2
aceclofenac	MAPK1	unknown	5.227165073	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aceclofenac_MAPK1
aceclofenac	TTR	unknown	5.92	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aceclofenac_TTR
acepromazine	PRNP	unknown	5.3	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	acepromazine_PRNP
acetylcholine	CHRM2	agonist	6.5	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	acetylcholine_CHRM2
acetylcysteine	VEGFA	unknown	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	acetylcysteine_VEGFA
aclidinium bromide	CHRM2	unknown	10.1	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aclidinium bromide_CHRM2
adenosine	ADA	unknown	4.6021	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	adenosine_ADA
adenosine	ADK	unknown||unknown	6.0||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	adenosine_ADK
adenosine	ADORA1	agonist||unknown	6.5086||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	adenosine_ADORA1
adenosine	DPP4	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_DPP4
adenosine	GAPDH	unknown	4.46	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	adenosine_GAPDH
adenosine	GHSR	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_GHSR
adenosine	HINT1	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_HINT1
adenosine	IARS1	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_IARS1
adenosine	MAPK14	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_MAPK14
adenosine	PRKAR1A	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_PRKAR1A
adenosine	SLC28A1	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_SLC28A1
adenosine	SLC28A3	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_SLC28A3
adenosine	SLC5A7	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_SLC5A7
adenosine	TMIGD3	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	adenosine_TMIGD3
adenosine phosphate	SRC	unknown	7.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	adenosine phosphate_SRC
adenosine phosphate	TRPM4	gating inhibitor	4.7	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	adenosine phosphate_TRPM4
adenosine triphosphate	HSPA1A	unknown	5.46999979019165	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	adenosine triphosphate_HSPA1A
adenosine triphosphate	HSPA8	unknown	4.76000022888184	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	adenosine triphosphate_HSPA8
adenosine triphosphate	P2RX1	agonist||unknown	7.25||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	adenosine triphosphate_P2RX1
adenosine triphosphate	P2RX3	unknown||unknown	7.835647144||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	adenosine triphosphate_P2RX3
adenosine triphosphate	P2RX4	agonist||unknown	6.3||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	adenosine triphosphate_P2RX4
adenosine triphosphate	P2RY2	agonist||unknown	7.1||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	adenosine triphosphate_P2RY2
