source_node	target_node	p_chembl	action_type	is_activity_known	source	data_origin	priority	relationship	edge_label	is_in_drugcentral	is_in_jdti	comment	pmids	metadata	struct_id	drug_name
-10	ADK	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-10_ADK	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-10	tubercidin
-9	ADORA1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-9_ADORA1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-9	tecadenoson
-8	ADK	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-8_ADK	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-8	toyocamycin
-7	ADORA1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-7_ADORA1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-7	binodenoson
-6	POLA	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-6_POLA	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-6	fludarabine
-5	POLA	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-5_POLA	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-5	troxacitabine
-4	TDP1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-4_TDP1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-4	N6-hydroxyadenosine
-3	CDA	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-3_CDA	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-3	cytidine
-3	SLC28A1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-3_SLC28A1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-3	cytidine
-3	SLC28A3	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-3_SLC28A3	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-3	cytidine
-3	SLC29A1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-3_SLC29A1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-3	cytidine
-2	SLC28A1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-2_SLC28A1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-2	uridine
