gene_symbol	uniprot	tdl	tdl_priority
A1BG	P04217	Tbio	3
A1CF	Q9NQ94	Tbio	3
A2M	P01023	Tbio	3
A2ML1	A8K2U0	Tbio	3
A3GALT2	U3KPV4	Tdark	4
A4GALT	Q9NPC4	Tbio	3
A4GNT	Q9UNA3	Tbio	3
AAAS	Q9NRG9	Tbio	3
AACS	Q86V21	Tbio	3
AADAC	P22760	Tbio	3
AADACL2	Q6P093	Tdark	4
AADACL3	Q5VUY0	Tdark	4
AADACL4	Q5VUY2	Tdark	4
AADAT	Q8N5Z0	Tchem	2
AAGAB	Q6PD74	Tbio	3
AAK1	Q2M2I8	Tchem	2
AAMDC	Q9H7C9	Tdark	4
AAMP	Q13685	Tbio	3
AANAT	Q16613	Tbio	3
AAR2	Q9Y312	Tbio	3
AARD	Q4LEZ3	Tdark	4
AARS1	P49588	Tbio	3
AARS2	Q5JTZ9	Tbio	3
AARSD1	Q9BTE6	Tdark	4
AASDH	Q4L235	Tdark	4
AASDHPPT	Q9NRN7	Tbio	3
AASS	Q9UDR5	Tbio	3
AATF	Q9NY61	Tbio	3
AATK	Q6ZMQ8	Tbio	3
ABAT	P80404	Tclin	1
ABCA1	O95477	Tclin	1
ABCA10	Q8WWZ4	Tdark	4
ABCA12	Q86UK0	Tbio	3
ABCA13	Q86UQ4	Tbio	3
ABCA2	Q9BZC7	Tbio	3
ABCA3	Q99758	Tbio	3
ABCA4	P78363	Tbio	3
ABCA5	Q8WWZ7	Tbio	3
ABCA6	Q8N139	Tbio	3
ABCA7	Q8IZY2	Tbio	3
ABCA8	O94911	Tbio	3
ABCA9	Q8IUA7	Tdark	4
ABCB1	P08183	Tchem	2
ABCB10	Q9NRK6	Tbio	3
ABCB11	O95342	Tchem	2
ABCB4	P21439	Tbio	3
ABCB5	Q2M3G0	Tbio	3
ABCB6	Q9NP58	Tbio	3
ABCB7	O75027	Tbio	3
ABCB8	Q9NUT2	Tbio	3
ABCB9	Q9NP78	Tbio	3
ABCC1	P33527	Tchem	2
ABCC10	Q5T3U5	Tbio	3
ABCC11	Q96J66	Tbio	3
ABCC12	Q96J65	Tbio	3
ABCC2	Q92887	Tchem	2
ABCC3	O15438	Tbio	3
ABCC4	O15439	Tchem	2
ABCC5	O15440	Tchem	2
