gene	is_in_crispr	is_in_drugcentral	is_in_hats	is_in_jdti	is_in_natdt	is_in_phipster	is_in_preprint	is_in_string	is_in_taiml	node_type	target_type	tdl	tdl_priority	uniprot	metadata
A2ML1	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	A8K2U0	metadata
AAR2	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9Y312	metadata
AASS	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q9UDR5	metadata
AATF	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9NY61	metadata
ABCC1	False	True	False	False	False	False	True	True	False	target	human	Tchem	2.0	P33527	metadata
ABCE1	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P61221	metadata
ABL1	False	True	True	False	False	False	False	False	False	target	human	Tclin	1.0	P00519	metadata
ACAD9	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9H845	metadata
ACADM	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	P11310	metadata
ACE2	True	False	False	False	False	True	False	True	True	target	human	Tchem	2.0	Q9BYF1	metadata;role_crispr:resistance_pro_viral
ACSL3	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	O95573	metadata
ACTB	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P60709	metadata
ACTL6A	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	O96019	metadata;role_crispr:resistance_pro_viral
ACVR1B	True	True	False	False	False	False	False	True	False	target	human	Tchem	2.0	P36896	metadata;role_crispr:resistance_pro_viral
ADA	False	True	False	True	False	False	False	True	False	target	human	Tclin	1.0	P00813	metadata
ADAM9	False	True	False	False	False	False	True	True	False	target	human	Tchem	2.0	Q13443	metadata
ADAMTS1	False	False	False	False	False	False	True	True	False	target	human	Tchem	2.0	Q9UHI8	metadata
ADAT2	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q7Z6V5	metadata;role_crispr:sensitization_anti-viral
ADK	False	True	False	True	False	False	False	True	False	target	human	Tchem	2.0	P55263	metadata
ADORA1	False	True	False	True	False	False	False	True	False	target	human	Tclin	1.0	P30542	metadata
ADRA1D	False	True	False	True	False	False	False	True	False	target	human	Tclin	1.0	P25100	metadata
AGPS	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	O00116	metadata
AKAP8	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	O43823	metadata
AKAP8L	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9ULX6	metadata
AKAP9	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q99996	metadata
AKT1	False	True	True	False	False	False	False	True	False	target	human	Tchem	2.0	P31749	metadata
AKT2	False	True	True	False	False	False	False	False	False	target	human	Tchem	2.0	P31751	metadata
ALDH3A1	False	False	False	False	True	False	False	True	False	target	human	Tchem	2.0	P30838	metadata
ALG11	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q2TAA5	metadata
ALG5	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9Y673	metadata
ALG8	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9BVK2	metadata
AMMECR1	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q9Y4X0	metadata
ANO3	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q9BYT9	metadata
