gene_symbol	uniprot
A2ML1	A8K2U0
A2ML1	F5GXP1
A2ML1	F5GYG7
A2ML1	H0YGG5
A2ML1	H0YH14
AAR2	A0A7P0T8J7
AAR2	A0A7P0TA70
AAR2	A2A2Q9
AAR2	Q9Y312
AASS	A0A7P0T834
AASS	A0A7P0T8W7
AASS	A0A7P0T9N4
AASS	A0A7P0TA09
AASS	A0A7P0TA62
AASS	A0A7P0TAY5
AASS	A0A7P0TB07
AASS	A0A7P0TBD2
AASS	A0A7P0Z402
AASS	A0A7P0Z428
AASS	A0A7P0Z4M3
AASS	A4D0W4
AASS	F8WAH1
AASS	F8WE53
AASS	Q9UDR5
AATF	A0A087WTH8
AATF	A0A087WW41
AATF	A0A087WWS8
AATF	A0A0J9YWE9
AATF	A0A7P0T868
AATF	A0A7P0TAR0
AATF	A0A7P0TBG4
AATF	A0A7P0TBI0
AATF	A0A7P0Z434
AATF	A0A7P0Z4N2
AATF	A0A7P0Z4P2
AATF	Q9NY61
ABCC1	A0A0A0MS99
ABCC1	A0A7I2V2E0
ABCC1	A0A7I2V4C6
ABCC1	G0ZCM3
ABCC1	G0ZCM4
ABCC1	G0ZCM5
ABCC1	G0ZCM6
ABCC1	I3L4X2
ABCC1	P33527
ACAD9	A0A7P0T7Z1
ACAD9	A0A7P0T871
ACAD9	A0A7P0T8U3
ACAD9	A0A7P0T9N9
ACAD9	A0A7P0TB58
ACAD9	A0A7P0TB68
ACAD9	A0A7P0Z450
ACAD9	D6R9Z3
ACAD9	D6RCD8
ACAD9	D6RDK9
ACAD9	D6RGK6
ACAD9	D6RJA8
ACAD9	H0Y8Z9
ACAD9	Q9BUX5
ACAD9	Q9H845
ACAD9	Q9H9W4
ACADM	A0A0S2Z366
ACADM	A0A0S2Z3A5
ACADM	A0A7P0T8B6
ACADM	A0A7P0T8G6
ACADM	A0A7P0T8J9
ACADM	A0A7P0T932
ACADM	A0A7P0T9W7
ACADM	A0A7P0TA39
ACADM	A0A7P0TA63
ACADM	A0A7P0TAB2
ACADM	A0A7P0TAZ5
ACADM	A0A7P0TB28
ACADM	A0A7P0TB51
ACADM	A0A7P0TB55
ACADM	A0A7P0TBD1
ACADM	A0A7P0TBF2
ACADM	A0A7P0Z4Q0
ACADM	E9PIX8
ACADM	E9PJM9
ACADM	E9PLN7
ACADM	E9PQA8
ACADM	E9PRX4
ACADM	F6YB23
ACADM	H0YDT5
ACADM	P11310
ACADM	Q5T4U5
ACE2	A0A7I2V2E9
ACE2	A0A7I2V3N4
ACE2	A0A7I2V3X6
ACE2	A0A7I2V4H0
ACE2	A0A7I2V5W5
ACE2	Q9BYF1
ACSL3	A0A024R487
ACSL3	A0A7P0T8L6
ACSL3	A0A7P0T905
ACSL3	A0A7P0TA76
ACSL3	A0A7P0TB52
ACSL3	A0A7P0TBB1
ACSL3	A0A7P0TBL9
ACSL3	C9JC11
ACSL3	F5GWH2
ACSL3	H7BYZ7
ACSL3	O95573
ACSL3	Q6PIM8
ACTL6A	C9JQT2
ACTL6A	D3DNS0
ACTL6A	H7C5S0
ACTL6A	O96019
ACVR1B	F5H5Q2
ACVR1B	P36896
ADA	A0A0S2Z381
ADA	A0A0S2Z3B9
ADA	A0A0S2Z3T6
ADA	F5GWI4
ADA	F5GXW0
ADA	F5GYD4
ADA	P00813
ADA	Q16073
ADA	X5D767
ADAM9	A0A0J9YY58
ADAM9	A0A7I2V2E1
ADAM9	A0A7I2V2Z6
ADAM9	A0A7I2V303
ADAM9	A0A7I2V3B5
ADAM9	A0A7I2V3C1
ADAM9	A0A7I2V3I3
ADAM9	A0A7I2V3W3
ADAM9	A0A7I2V4B3
ADAM9	A0A7I2V4T8
ADAM9	A0A7I2V5C0
ADAM9	A0A7I2V5N8
ADAM9	A0A7I2V5Q0
ADAM9	A0A7I2YQ97
ADAM9	A0AVL1
ADAM9	C9J6H5
ADAM9	C9JPM3
ADAM9	F8WC54
ADAM9	Q13443
ADAMTS1	A0A7I2V400
ADAMTS1	A0A7I2V5J1
ADAMTS1	A0A7I2YQL5
ADAMTS1	E5RI60
ADAMTS1	Q8NE26
ADAMTS1	Q9UHI8
ADAT2	Q7Z6V5
ADGRG2	Q8IZP9
ADK	A0A5F9ZGZ8
ADK	A0A5F9ZH31
ADK	A0A5F9ZH72
ADK	A0A5F9ZH76
ADK	A0A5F9ZH83
ADK	A0A5F9ZHJ1
ADK	A0A5K1VW54
ADK	A0A5K1VW94
ADK	P55263
ADORA1	A0A087X173
ADORA1	P30542
ADORA1	S5RC53
ADRA1D	B0ZBE0
ADRA1D	P25100
AFP	J3KMX3
AFP	P02771
AGPS	A0A1B0GWA2
AGPS	A0A2R8YEL0
AGPS	A0A7P0T857
AGPS	A0A7P0T8Q7
AGPS	A0A7P0T984
AGPS	A0A7P0T9C9
AGPS	A0A7P0TA54
AGPS	A0A7P0TAL3
AGPS	A0A7P0TAU9
AGPS	B7Z3Q4
AGPS	B8ZZ81
AGPS	O00116
AGPS	Q53S12
AGPS	Q53SG6
AGPS	Q53SN7
AKAP12	Q02952
AKAP12	Q6NSG9
AKAP12	Q86TJ9
AKAP8	A0A7P0T893
AKAP8	A0A7P0TAA4
AKAP8	A0A7P0TBC8
AKAP8	M0QX51
AKAP8	O43823
AKAP8	Q8NE02
AKAP8L	A0A7P0T847
AKAP8L	A0A7P0T8N3
AKAP8L	A0A7P0T9N5
AKAP8L	A0A7P0TAD3
AKAP8L	A0A7P0TAE3
AKAP8L	A0A7P0TAJ5
AKAP8L	A0A7P0TBP0
AKAP8L	B3KMD4
AKAP8L	M0QYT7
AKAP8L	M0R008
AKAP8L	M0R010
AKAP8L	M0R1L5
AKAP8L	M0R1Y5
AKAP8L	Q9ULX6
AKAP8L	V9GZ50
AKAP9	A0A0A0MRF6
AKAP9	A0A2R8Y590
AKAP9	A0A6I8PUD8
AKAP9	A0A7P0T8N5
AKAP9	A0A7P0T8Z8
AKAP9	A0A7P0T928
AKAP9	A0A7P0T939
AKAP9	A0A7P0T9A9
AKAP9	A0A7P0T9E2
AKAP9	A0A7P0TAA2
AKAP9	A0A7P0TAD6
AKAP9	A0A7P0TAJ1
AKAP9	A0A7P0TAX3
AKAP9	A0A7P0TB09
AKAP9	A0A7P0TBH8
AKAP9	A0A7P0TBI4
AKAP9	A0A7P0Z4N5
AKAP9	A0A7P0Z4Q5
AKAP9	A4D1E4
AKAP9	H7BYL6
AKAP9	Q6PJH3
AKAP9	Q99996
ALDH1A1	P00352
ALDH1A1	Q5SYQ7
ALDH1A1	Q5SYQ8
ALDH1A1	Q5SYQ9
ALDH2	A0A384NPN7
ALDH2	B0LUF9
ALDH2	B0LUG0
ALDH2	B0LUG2
ALDH2	B4YAH7
ALDH2	F8VSB0
ALDH2	P05091
ALDH2	Q9UN17
ALDH2	S4R3S4
ALG11	A0A087WYL8
ALG11	A0A3B3IS90
ALG11	A0A3B3ISP7
ALG11	A0A3B3ISU2
ALG11	A0A7P0T8B1
ALG11	A0A7P0T8Y4
ALG11	A0A7P0T9G5
ALG11	A0A7P0Z4B5
ALG11	Q2TAA5
ALG11	Q5TAP0
ALG5	A0A7P0T850
ALG5	A0A7P0T882
ALG5	A0A7P0T8X9
ALG5	A0A7P0T901
ALG5	A0A7P0T9B8
ALG5	A0A7P0T9C7
ALG5	A0A7P0T9X2
ALG5	A0A7P0TA95
ALG5	A0A7P0TA98
ALG5	A0A7P0TAI2
ALG5	A0A7P0TAL2
ALG5	A0A7P0TB27
ALG5	A0A7P0Z4I2
ALG5	B4DR67
ALG5	Q9Y673
ALG8	A0A024R5K5
ALG8	A0A0S2Z5N3
ALG8	A0A7P0T810
ALG8	A0A7P0T837
ALG8	A0A7P0T845
ALG8	A0A7P0T8Q8
ALG8	A0A7P0T919
ALG8	A0A7P0T9A3
ALG8	A0A7P0T9F4
ALG8	A0A7P0T9H4
ALG8	A0A7P0T9J9
ALG8	A0A7P0T9Q0
ALG8	A0A7P0T9Y0
ALG8	A0A7P0TA89
ALG8	A0A7P0TAA1
ALG8	A0A7P0TAA8
ALG8	A0A7P0TAL7
ALG8	A0A7P0TB84
ALG8	A0A7P0Z449
ALG8	A0A7P0Z4J4
ALG8	E9PK79
ALG8	E9PKA5
ALG8	E9PNE2
ALG8	E9PP80
ALG8	E9PP96
ALG8	E9PR58
ALG8	H0YCV0
ALG8	H0YD42
ALG8	H0YDD3
ALG8	H0YDV4
ALG8	H0YEE0
ALG8	L8E8S9
ALG8	Q9BVK2
AMMECR1	A0A0S2Z4V0
AMMECR1	A0A0S2Z4X0
AMMECR1	Q9Y4X0
ANO3	A0A5F9ZHL6
ANO3	E9PKW2
