host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata	uniprot	tdl
A2ML1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na	A8K2U0	Tbio
AAR2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.34700000000000003	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y312	Tbio
AASS	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.34700000000000003	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9UDR5	Tbio
AATF	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.241	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NY61	Tbio
ABCC1	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	P33527	Tchem
ABCE1	ppi_string	True	STRING	STRING API	False	False	0.229	STRING DB score	na	na	source:ppi	P61221	Tbio
ABL1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.15	confidence	na	na	source:ppi	P00519	Tclin
ACAD9	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.368	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9H845	Tbio
ACADM	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.47	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P11310	Tbio
ACE2	hpi_phipster||hostprot_taiml||hostprot_crispr||ppi_string	False||False||True||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO||Extracted by TIO||STRING API	False||False||False||False	True||True||True||False	na||na||na||0.245	na||na||na||STRING DB score	na||na||na||na	na||na||na||na	source:hpi||na||notes:;role:resistance_pro_viral||source:ppi	Q9BYF1	Tchem
ACSL3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.459	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O95573	Tbio
ACTL6A	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.324	na||STRING DB score	na||na	na||na	notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi	O96019	Tbio
ACVR1B	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.183	na||STRING DB score	na||na	na||na	notes:;role:resistance_pro_viral||source:ppi	P36896	Tchem
ADA	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.228	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P00813	Tclin
ADAM9	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.222	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13443	Tchem
ADAMTS1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.269	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9UHI8	Tchem
ADAT2	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.17800000000000002	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q7Z6V5	Tbio
ADGRG2	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.201	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q8IZP9	Tbio
ADK	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.354	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P55263	Tchem
ADORA1	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.911	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P30542	Tclin
ADRA1D	dti_jm_hcq||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.201	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P25100	Tclin
AFP	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.222	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P02771	Tbio
AGPS	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.205	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O00116	Tbio
AKAP12	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.151	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q02952	Tbio
AKAP8	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.5579999999999999	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O43823	Tbio
AKAP8L	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.485	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9ULX6	Tbio
AKAP9	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q99996	Tbio
AKT1	ppi_sg||ppi_string	True||True	SmartGraph||STRING	SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False	False||False	0.24||0.527	confidence||STRING DB score	na||na	na||na	source:ppi||source:ppi	P31749	Tchem
AKT2	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.31	confidence	na	na	source:ppi	P31751	Tchem
ALDH1A1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.16	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P00352	Tchem
ALDH2	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.16	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P05091	Tclin
ALG11	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.303	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q2TAA5	Tbio
ALG5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.165	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y673	Tbio
ALG8	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.8340000000000001	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BVK2	Tbio
AMMECR1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.152	na||STRING DB score	na||na	na||na	na||source:ppi	Q9Y4X0	Tbio
ANO3	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.175	na||STRING DB score	na||na	na||na	na||source:ppi	Q9BYT9	Tbio
ANO4	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.264	na||STRING DB score	na||na	na||na	na||source:ppi	Q32M45	Tbio
ANO5	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.406	na||STRING DB score	na||na	na||na	na||source:ppi	Q75V66	Tbio
ANO6	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.391	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q4KMQ2	Tbio
ANO8	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.9	na||STRING DB score	na||na	na||na	na||source:ppi	Q9HCE9	Tbio
ANO9	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.175	na||STRING DB score	na||na	na||na	na||source:ppi	A1A5B4	Tbio
ANXA4	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.157	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P09525	Tbio
AP2A2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.999	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O94973	Tbio
AP2M1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.203	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96CW1	Tbio
AP3B1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.675	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	O00203	Tbio
APLP2	hostprot_nat||ppi_sg||ppi_string	True||True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||SmartGraph||STRING	Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.09||0.382	na||confidence||STRING DB score	down||na||na	quantity change||na||na	na||source:ppi||source:ppi	Q06481	Tbio
APOE	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.226	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P02649	Tbio
APP	dti_jm_hcq	False	Prediction by Jordi Mestres, PhD (JM)	File shared by JM	False	True	na	na	na	na	source:dti	P05067	Tchem
AR	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.07	confidence	na	na	source:ppi	P10275	Tclin
ARF6	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.15	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P62330	Tbio
ARID1A	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:SWI/SNF complex;role:resistance_pro_viral	O14497	Tbio
ARID1B	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.994	na||STRING DB score	na||na	na||na	notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi	Q8NFD5	Tbio
ARL6IP6	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.7040000000000001	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8N6S5	Tdark
ATE1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.179	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O95260	Tbio
ATF2	hostprot_hats||ppi_sg	False||True	Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD||SmartGraph	TIO, TW||SmartGraph analysis max. dist=3, min. conf=0	True||False	False||False	na||0.18	na||confidence	na||na	na||na	na||source:ppi	P15336	Tbio
ATM	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.18	confidence	na	na	source:ppi	Q13315	Tchem
ATP13A1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.156	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q9HD20	Tdark
ATP13A3	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.215	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9H7F0	Tbio
ATP1B1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.184	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P05026	Tclin
ATP1B2	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.157	na||STRING DB score	na||na	na||na	na||source:ppi	P14415	Tclin
ATP2B4	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.157	na||STRING DB score	na||na	na||na	na||source:ppi	P23634	Tbio
ATP4B	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.3720000000000001	na||STRING DB score	na||na	na||na	na||source:ppi	P51164	Tclin
ATP5MG	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.165	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O75964	Tdark
ATP6AP1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.638	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q15904	Tchem
ATP6V1A	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.188	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P38606	Tbio
ATP6V1G1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.188	na||STRING DB score	down||na	quantity change||na	na||source:ppi	O75348	Tbio
ATRX	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:;role:sensitization_anti-viral	P46100	Tbio
B2M	hpi_phipster||ppi_string	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||STRING API	False||False	True||False	na||0.308	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61769	Tbio
B3GAT2	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.213	na||STRING DB score	na||na	na||na	na||source:ppi	Q9NPZ5	Tbio
B4GALNT2	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.17	na||STRING DB score	na||na	na||na	na||source:ppi	Q8NHY0	Tbio
BACE1	dti_jm_hcq	False	Prediction by Jordi Mestres, PhD (JM)	File shared by JM	False	True	na	na	na	na	source:dti	P56817	Tchem
BAG5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.209	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9UL15	Tbio
BAG6	hpi_phipster||hostprot_taiml	False||False	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO	False||False	True||True	na||na	na||na	na||na	na||na	source:hpi||na	P46379	Tbio
BCKDK	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.218	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O14874	Tbio
BCL3	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.06	confidence	na	na	source:ppi	P20749	Tbio
BCS1L	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.194	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y276	Tbio
BPTF	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.7070000000000001	na||STRING DB score	na||na	na||na	notes:NURF complex;role:sensitization_anti-viral||source:ppi	Q12830	Tchem
BRCA1	ppi_sg||ppi_string	True||True	SmartGraph||STRING	SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False	False||False	0.49||0.2	confidence||STRING DB score	na||na	na||na	source:ppi||source:ppi	P38398	Tchem
BRD2	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	P25440	Tchem
BRD4	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.342	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	O60885	Tchem
BTLA	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.224	na||STRING DB score	na||na	na||na	na||source:ppi	Q7Z6A9	Tbio
BZW2	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.171	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9Y6E2	Tbio
C16orf91	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	up	quantity change	na	na	unk
C1orf50	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.248	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BV19	Tdark
C20orf27	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.161	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q9GZN8	Tdark
CABIN1	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.187	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q9Y6J0	Tbio
